time,sv,doppler
2026-01-11 00:50:18.000,G12,-2169.547
2026-01-11 00:50:20.000,G01,-3590.09
2026-01-11 00:50:20.000,G12,-2170.646
2026-01-11 00:50:22.000,G01,-3589.884
2026-01-11 00:50:22.000,G12,-2170.427
2026-01-11 00:50:24.000,G01,-3591.032
2026-01-11 00:50:24.000,G12,-2172.063
2026-01-11 00:50:26.000,G01,-3591.838
2026-01-11 00:50:26.000,G12,-2173.556
2026-01-11 00:50:28.000,G01,-3591.293
2026-01-11 00:50:28.000,G12,-2173.273
2026-01-11 00:50:30.000,G01,-3593.018
2026-01-11 00:50:30.000,G12,-2175.369
2026-01-11 00:50:32.000,G01,-3593.21
2026-01-11 00:50:32.000,G12,-2176.5
2026-01-11 00:50:34.000,G01,-3592.831
2026-01-11 00:50:34.000,G12,-2176.671
2026-01-11 00:50:36.000,G01,-3594.363
2026-01-11 00:50:36.000,G12,-2178.571
2026-01-11 00:50:38.000,G01,-3593.963
2026-01-11 00:50:38.000,G12,-2178.855
2026-01-11 00:50:40.000,G01,-3594.69
2026-01-11 00:50:40.000,G12,-2180.007
2026-01-11 00:50:42.000,G01,-3594.674
2026-01-11 00:50:42.000,G12,-2180.355
2026-01-11 00:50:44.000,G01,-3595.381
2026-01-11 00:50:44.000,G12,-2181.425
2026-01-11 00:50:46.000,G01,-3595.395
2026-01-11 00:50:46.000,G12,-2182.026
2026-01-11 00:50:48.000,G01,-3595.824
2026-01-11 00:50:48.000,G12,-2183.083
2026-01-11 00:50:50.000,G01,-3596.612
2026-01-11 00:50:50.000,G12,-2185.062
2026-01-11 00:50:52.000,G01,-3596.808
2026-01-11 00:50:52.000,G12,-2185.288
2026-01-11 00:50:54.000,G01,-3597.568
2026-01-11 00:50:54.000,G12,-2186.212
2026-01-11 00:50:56.000,G01,-3598.3
2026-01-11 00:50:56.000,G12,-2188.064
2026-01-11 00:50:58.000,G01,-3599.17
2026-01-11 00:50:58.000,G12,-2188.69
2026-01-11 00:51:00.000,G01,-3598.063
2026-01-11 00:51:00.000,G12,-2188.444
2026-01-11 00:51:02.000,G01,-3598.838
2026-01-11 00:51:02.000,G12,-2189.348
2026-01-11 00:51:04.000,G01,-3600.214
2026-01-11 00:51:04.000,G12,-2191.808
2026-01-11 00:51:06.000,G01,-3600.118
2026-01-11 00:51:06.000,G12,-2191.972
2026-01-11 00:51:08.000,G01,-3600.99
2026-01-11 00:51:08.000,G12,-2193.136
2026-01-11 00:51:10.000,G01,-3600.459
2026-01-11 00:51:10.000,G12,-2193.264
2026-01-11 00:51:12.000,G01,-3601.081
2026-01-11 00:51:12.000,G12,-2194.357
2026-01-11 00:51:14.000,G01,-3602.631
2026-01-11 00:51:14.000,G12,-2196.445
2026-01-11 00:51:16.000,G01,-3602.898
2026-01-11 00:51:16.000,G12,-2197.424
2026-01-11 00:51:18.000,G01,-3601.814
2026-01-11 00:51:18.000,G12,-2196.729
2026-01-11 00:51:20.000,G01,-3603.294
2026-01-11 00:51:20.000,G12,-2198.654
2026-01-11 00:51:22.000,G01,-3604.226
2026-01-11 00:51:22.000,G12,-2200.203
2026-01-11 00:51:24.000,G01,-3604.182
2026-01-11 00:51:24.000,G12,-2200.594
2026-01-11 00:51:26.000,G01,-3604.402
2026-01-11 00:51:26.000,G12,-2201.1
2026-01-11 00:51:28.000,G01,-3604.446
2026-01-11 00:51:28.000,G12,-2201.794
2026-01-11 00:51:30.000,G01,-3605.215
2026-01-11 00:51:30.000,G12,-2203.436
2026-01-11 00:51:32.000,G01,-3605.388
2026-01-11 00:51:32.000,G12,-2203.537
2026-01-11 00:51:34.000,G01,-3606.764
2026-01-11 00:51:34.000,G12,-2205.79
2026-01-11 00:51:36.000,G01,-3606.402
2026-01-11 00:51:36.000,G12,-2205.675
2026-01-11 00:51:38.000,G01,-3606.938
2026-01-11 00:51:38.000,G12,-2206.948
2026-01-11 00:51:40.000,G01,-3607.554
2026-01-11 00:51:40.000,G12,-2207.848
2026-01-11 00:51:42.000,G01,-3607.778
2026-01-11 00:51:42.000,G12,-2208.608
2026-01-11 00:51:44.000,G01,-3608.594
2026-01-11 00:51:44.000,G12,-2209.923
2026-01-11 00:51:46.000,G01,-3609.602
2026-01-11 00:51:46.000,G12,-2211.462
2026-01-11 00:51:48.000,G01,-3609.25
2026-01-11 00:51:48.000,G12,-2211.526
2026-01-11 00:51:50.000,G01,-3610.467
2026-01-11 00:51:50.000,G12,-2213.344
2026-01-11 00:51:52.000,G01,-3610.161
2026-01-11 00:51:52.000,G12,-2213.487
2026-01-11 00:51:54.000,G01,-3610.582
2026-01-11 00:51:54.000,G12,-2214.269
2026-01-11 00:51:56.000,G01,-3610.634
2026-01-11 00:51:56.000,G12,-2215.033
2026-01-11 00:51:58.000,G01,-3611.29
2026-01-11 00:51:58.000,G12,-2216.393
2026-01-11 00:52:00.000,G01,-3612.168
2026-01-11 00:52:00.000,G12,-2217.672
2026-01-11 00:52:02.000,G01,-3611.821
2026-01-11 00:52:02.000,G12,-2217.696
2026-01-11 00:52:04.000,G01,-3612.434
2026-01-11 00:52:04.000,G12,-2219.101
2026-01-11 00:52:06.000,G01,-3614.15
2026-01-11 00:52:06.000,G12,-2221.061
2026-01-11 00:52:08.000,G01,-3613.75
2026-01-11 00:52:08.000,G12,-2221.336
2026-01-11 00:52:10.000,G01,-3614.602
2026-01-11 00:52:10.000,G12,-2222.516
2026-01-11 00:52:12.000,G01,-3614.871
2026-01-11 00:52:12.000,G12,-2223.299
2026-01-11 00:52:14.000,G01,-3614.686
2026-01-11 00:52:14.000,G12,-2223.855
2026-01-11 00:52:16.000,G01,-3614.542
2026-01-11 00:52:16.000,G12,-2224.042
2026-01-11 00:52:18.000,G01,-3616.193
2026-01-11 00:52:18.000,G12,-2226.133
2026-01-11 00:52:20.000,G01,-3617.618
2026-01-11 00:52:20.000,G12,-2227.893
2026-01-11 00:52:22.000,G01,-3616.823
2026-01-11 00:52:22.000,G12,-2227.613
2026-01-11 00:52:24.000,G01,-3617.22
2026-01-11 00:52:24.000,G12,-2228.512
2026-01-11 00:52:26.000,G01,-3617.264
2026-01-11 00:52:26.000,G12,-2229.09
2026-01-11 00:52:28.000,G01,-3618.11
2026-01-11 00:52:28.000,G12,-2230.499
2026-01-11 00:52:30.000,G01,-3617.307
2026-01-11 00:52:30.000,G12,-2230.29
2026-01-11 00:52:32.000,G01,-3618.456
2026-01-11 00:52:32.000,G12,-2231.951
2026-01-11 00:52:34.000,G01,-3619.283
2026-01-11 00:52:34.000,G12,-2233.155
2026-01-11 00:52:36.000,G01,-3620.651
2026-01-11 00:52:36.000,G12,-2234.7
2026-01-11 00:52:38.000,G01,-3620.604
2026-01-11 00:52:38.000,G12,-2235.409
2026-01-11 00:52:40.000,G01,-3620.713
2026-01-11 00:52:40.000,G12,-2236.128
2026-01-11 00:52:42.000,G01,-3620.893
2026-01-11 00:52:42.000,G12,-2236.786
2026-01-11 00:52:44.000,G01,-3620.886
2026-01-11 00:52:44.000,G12,-2237.429
2026-01-11 00:52:46.000,G01,-3621.832
2026-01-11 00:52:46.000,G12,-2238.793
2026-01-11 00:52:48.000,G01,-3621.78
2026-01-11 00:52:48.000,G12,-2239.446
2026-01-11 00:52:50.000,G01,-3622.306
2026-01-11 00:52:50.000,G12,-2240.455
2026-01-11 00:52:52.000,G01,-3624.217
2026-01-11 00:52:52.000,G12,-2242.675
2026-01-11 00:52:54.000,G01,-3623.274
2026-01-11 00:52:54.000,G12,-2242.458
2026-01-11 00:52:56.000,G01,-3624.036
2026-01-11 00:52:56.000,G12,-2243.801
2026-01-11 00:52:58.000,G01,-3623.829
2026-01-11 00:52:58.000,G12,-2243.823
2026-01-11 00:53:00.000,G01,-3625.016
2026-01-11 00:53:00.000,G12,-2245.463
2026-01-11 00:53:02.000,G01,-3625.823
2026-01-11 00:53:02.000,G12,-2246.702
2026-01-11 00:53:04.000,G01,-3625.993
2026-01-11 00:53:04.000,G12,-2247.641
2026-01-11 00:53:06.000,G01,-3625.738
2026-01-11 00:53:06.000,G12,-2247.553
2026-01-11 00:53:08.000,G01,-3625.755
2026-01-11 00:53:08.000,G12,-2248.189
2026-01-11 00:53:10.000,G01,-3626.517
2026-01-11 00:53:10.000,G12,-2249.557
2026-01-11 00:53:12.000,G01,-3627.522
2026-01-11 00:53:12.000,G12,-2251.109
2026-01-11 00:53:14.000,G01,-3627.251
2026-01-11 00:53:14.000,G12,-2251.094
2026-01-11 00:53:16.000,G01,-3627.738
2026-01-11 00:53:16.000,G12,-2252.279
2026-01-11 00:53:18.000,G01,-3628.968
2026-01-11 00:53:18.000,G12,-2254.037
2026-01-11 00:53:20.000,G01,-3628.98
2026-01-11 00:53:20.000,G12,-2254.373
2026-01-11 00:53:22.000,G01,-3629.737
2026-01-11 00:53:22.000,G12,-2255.787
2026-01-11 00:53:24.000,G01,-3629.742
2026-01-11 00:53:24.000,G12,-2256.224
2026-01-11 00:53:26.000,G01,-3630.262
2026-01-11 00:53:26.000,G12,-2257.454
2026-01-11 00:53:28.000,G01,-3630.159
2026-01-11 00:53:28.000,G12,-2257.75
2026-01-11 00:53:30.000,G01,-3630.806
2026-01-11 00:53:30.000,G12,-2258.911
2026-01-11 00:53:32.000,G01,-3631.681
2026-01-11 00:53:32.000,G12,-2260.505
2026-01-11 00:53:34.000,G01,-3632.021
2026-01-11 00:53:34.000,G12,-2261.121
2026-01-11 00:53:36.000,G01,-3633.372
2026-01-11 00:53:36.000,G12,-2262.895
2026-01-11 00:53:38.000,G01,-3632.835
2026-01-11 00:53:38.000,G12,-2262.917
2026-01-11 00:53:40.000,G01,-3634.276
2026-01-11 00:53:40.000,G12,-2264.837
2026-01-11 00:53:42.000,G01,-3632.651
2026-01-11 00:53:42.000,G12,-2263.55
2026-01-11 00:53:44.000,G01,-3633.768
2026-01-11 00:53:44.000,G12,-2265.184
2026-01-11 00:53:46.000,G01,-3634.468
2026-01-11 00:53:46.000,G12,-2266.398
2026-01-11 00:53:48.000,G01,-3635.931
2026-01-11 00:53:48.000,G12,-2268.264
2026-01-11 00:53:50.000,G01,-3634.756
2026-01-11 00:53:50.000,G12,-2267.923
2026-01-11 00:53:52.000,G01,-3636.109
2026-01-11 00:53:52.000,G12,-2269.388
2026-01-11 00:53:54.000,G01,-3636.364
2026-01-11 00:53:54.000,G12,-2270.305
2026-01-11 00:53:56.000,G01,-3637.007
2026-01-11 00:53:56.000,G12,-2271.422
2026-01-11 00:53:58.000,G01,-3636.917
2026-01-11 00:53:58.000,G12,-2272.029
2026-01-11 00:54:00.000,G01,-3637.05
2026-01-11 00:54:00.000,G12,-2272.513
